site_code,site_name,site_type,site_type_name,start_date,end_date,rkm,rkm_total,site_description,geometry,sthd_DPS,sthd_MPG,sthd_POP_NAME,sthd_TRT_POPID,sthd_GSI_Group
JPT,Juvenile Pond Touchet,INT,Instream Remote Detection System,2016-07-12T00:00:00Z,2018-07-03T00:00:00Z,509.035.087,631,"JPT is a permanent instream PIT tag interrogation site at RKM 87.5 on the Touchet river. The site consists of two rows of antennas, with each row spanning the wetted width of the channel during base flows. Each row consists of 3 20 foot x 3 foot HDPE antennas, installed in flat-plate configuration. Each antenna is powered by a Biomark Multiplexing Reader IS1001-MC Master Controller. The antennas were built and installed by WDFW. The electrical power at the site is provided by Washington Department of fish and Wildlife with a 110 electrical outlet located at the Touchet Adult Trap upstream. Data will be downloaded by Biomark through a cell modem. No environmental monitors are installed at this time.","c(-117.975088, 46.313717)",NA,NA,NA,NA,NA
KCB,"Kiwanis Camp Bridge, Mill C",INT,Instream Remote Detection System,2005-04-16T00:00:00Z,2011-04-01T00:00:00Z,509.054.035,598,"This in-stream interrogation system is located at the bridge at the Kiwanis Camp on upper Mill Creek, Walla Walla Basin.","c(-118.113805, 45.998915)",NA,NA,NA,NA,NA
KLR,Klickitat Riv. Floating Array,INT,Instream Remote Detection System,2017-04-17T00:00:00Z,NA,290.005,295,"The Klickitat River Floating PIT tag array is located in the lower Klickitat River, Klickitat County, Washington.  The site consists of two arrays (upstream and downstream).  Three 10 foot antennas comprise each array.  Each array spans a width of approximately 32 feet.  Each array is fixed to a channel spanning cable that suspends the arrays on the water surface.  An MTS controller and six IS1001 ACN nodes are deployed to interrogate and record data of PIT tagged fish detected by the array.","c(-121.255137, 45.720309)",NA,NA,NA,NA,NA
LBC,"Libby Creek, Methow River",INT,Instream Remote Detection System,2009-01-01T00:00:00Z,2017-08-30T00:00:00Z,843.042.001,886,"LBC is a permanent instream PIT tag interrogation site at RKM 1 on Libby Creek. It was installed in 2009 with a single antenna. In August 20017, the site was modified and now consists of two antennas, with each antenna spanning the wetted width of the channel during base flows. Each row consists of one 10-foot HDPE antenna, installed in flat-plate configuration. Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a QST QuBE ACN controller. The antennas were built and installed by WDFW. The site is operationg on grid power to charge the battery bank that powers the detection system. A cellular modem is installed on site to provide remote communication and allow for automated data collection. A submersible pressure transducer and temperature probes are installed on site to monitor environmental conditions. Site is no longer active. Site is no longer active.","c(-120.117672, 48.23025)",NA,NA,NA,NA,NA
LBT,Little Bridge Creek (Twisp R.),INT,Instream Remote Detection System,2012-06-01T00:00:00Z,2014-04-16T12:00:00Z,843.066.014.001,924,"This site contains two permanent allflex antennas and one temporary seasonal antenna. The site is on Little Bridge Creek, just upstream (200m) from its confluence with the Twisp River, in the Methow River watershed of the Upper Columbia Basin.","c(-120.2867, 48.38075)",NA,NA,NA,NA,NA
LFF,Lyle Falls Fishway,INT,Adult Fishway,2011-08-17T12:14:45Z,2015-07-14T07:00:00Z,290.004,294,This site monitors the Lyle Falls fishway and adult trap with three antennas in the fishway channel and 10 antennas in the wet lab associated with the fish trap.,"c(-121.259747, 45.716414)",NA,NA,NA,NA,NA
LHC,Leavenworth NFH Coho Releases,INT,Monitored Fish Release,2011-04-16T00:00:00Z,NA,754.041.005,800,"The interrogation site is installed upon hatchery release of juvenile coho that are reared at Leavenworth National Fish Hatchery. The site consists of four model 2001F-ISO portable, PIT tag detection units using paddle antennas, placed directly on the hose during release. The system will only be operation for one week during the year, typically mid-April.","c(-120.674835, 47.558898)",NA,NA,NA,NA,NA
LKR,Little Klickitat River Array,INT,Instream Remote Detection System,2017-01-24T00:00:00Z,NA,290.033.001,324,"The Little Klickitat River PIT tag interrogation array is located in the Little Klickitat River, a tributary to the Klickitat River, Klickitat County, Washington.  The PIT tag array is located approximately 0.4 kilometers upstream from the confluence with the Klickitat River. The site consists of two channel spanning arrays (2x2 antenna configuration). Each array spans a width of approximately 10 meters. Antennas are fixed to the substrate in a pass-over configuration.  An MTS controller and four IS1001 ACN nodes are deployed to interrogate and record data of PIT tagged fish detected by the array.","c(-121.059839, 45.844255)",NA,NA,NA,NA,NA
LLC,Loup Loup Creek Instream Array,INT,Instream Remote Detection System,2013-03-07T00:00:00Z,2018-01-30T10:19:00Z,858.028.001,887,"LLC is a permanent PIT Tag interrogation system on Loup Loup Creek.  Loup Loup Creek enters the Okanogan River at RKM 27.2, within the city of Malott, WA.  LLC is located 0.42 km from the confluence with the Okanogan River.  In June 2013, the site consisted of 3 PVC antennas anchored to the stream bed in pass-over configuration.  In January 2018, the instream array was reconfigured with three 10 foot HDPE pipe antennas anchored to the stream bed for pass-over detection.  Antennas are configured in 3 separate rows that span the wetted width at base flow.  Each antenna is power by a Biomark IS1001 reader multiplexed by an IS1001-MC. The site is on grid power running a linear power supply that in turn powers the detection system.  LLC has remote communication abilities provided by a cellular modem.","c(-119.70824, 48.283501)",NA,NA,NA,NA,NA
LMB,Lower Methow River Barge,INT,Instream Remote Detection System,2022-08-01T00:00:00Z,NA,843.001,844,The site consists of a single 60 ft. wide floating barge with twelve 7.5 ft. vertical fins. Each pair of fins act as a single antenna. The purpose for operating this site is to improve detections of outmigrating juvenile salmonids. The site is expected to operate year-round with exceptions to high-flow periods or heavy ice build up where damage to antennas may not be avoidable.,"c(-119.91524, 48.046242)",NA,NA,NA,NA,NA
LMC,Lower Manastash Creek,INT,Instream Remote Detection System,2013-12-16T00:00:00Z,2017-02-28T00:00:00Z,539.253.002,794,"LMC is located in Manastash creek 1.4 miles above the confluence to the Yakima river, 80M above the bridge at Barnes Rd. All equipment was purchased by the Kittitas County Conservation District directly from Biomark. Site was installed and will be managed by WDFW personnel. Initial configuration of the site included 3-20ft, Biomark Lite antennas, each spanning the wetted width of the creek. Antenna 1 is upstream, 2 middle, and 3 is the downstream antenna. Antennas 2 and 3 were damaged February 2016 and were replaced in February 2017 with 24 x 8 ft quadrilaterlas constructed with 1 inch PEX. Ten inch posts were used on the bottom of the creek to create a backbone for the antennas.  The posts are secured to the substrate with MR-4 anchors.  The sides of the antennas are secured using anchors on an exposed bank, clamps on trees and one t-post for antenna 3.  Antennas 2 and 3 have a complete field of detection with 24 inches of read range off the coil.  Each antenna is connected to a submersible IS1001 antenna control node which are anchored to the bank. The exciter cable runs 120ft upstream along the left bank to the IS1001-MTS, secured in an enclosure. Grid power is being used to charge the 4-12V batteries located in a Jo-Box under the enclosure.","c(-120.602197, 46.988614)",NA,NA,NA,NA,NA
LMR,Lower Methow River at Pateros,INT,Instream Remote Detection System,2009-03-01T00:00:00Z,2010-12-02T16:30:00Z,843.008,851,"LMR is a permanent instream PIT tag interrogation site on the Methow River. When first installed with a single row of six antennas, it was located near the WDFW Miller Hole access site at about river kilometer 3. In December 2010, a second row of six antennas was added to the site. In August 2017, the site was relocated 5 kilometers upstream and the two FS1001M transceivers were replaced with a single Biomark/QST QuBe controller.  The site currently consists of two rows of antennas, with each row nearly spanning the wetted width of the channel during base flows. Each row consists of six 20-foot HDPE antennas, installed in flat-plate configuration. Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a Biomark/QST QuBe controller. The antennas were built and installed by WDFW. The site is powered by a thermoelectric generator. LMR has remote communication abilities provided by a cellular modem. A submersible pressure transducer and temperature probe sensor are also installed to provide environmental condition data collection.","c(-119.956143, 48.074923)",NA,NA,NA,NA,NA
LMT,Lower Mainstem Teanaway River,INT,Instream Remote Detection System,2010-05-01T00:00:00Z,2015-12-07T12:00:00Z,539.284.000,823,"The lower Teanaway pit tag array was installed in 2010 near the mouth of the Teanaway river, under the HWY 10 bridge .  The site had MUX with 2 rows of 3-20’ schedule 80 PVC antennas and used solar panels to generate power.  After an historic flow event in the fall of 2015 the decision was made to relocate the site to a more stable location and upgrade the equipment with more durable HDPE antennas and IS1001 readers and controller.  In October of 2018, the site was relocated 200’ below Lambert bridge, 5 miles east of Cle Elum Washington (47.174326, -120.836400).  The IS1001 MTS is powered by a 200 Ah 24V battery bank charged with a 24V, 8A Interacter charger which is connected to grid power.  There are two CAN bus trunk lines ~60’ long that are connected to the upper and lower rows of ACNs.  The submersible enclosures for the IS1001s were constructed by Yakama Nation Fisheries and consist of schedule 40 PVC with various fittings.  The submersibles were pressure tested to ensure a water tight enclosure.  They are located 8’ below each antenna and are daisy chained together.  Hydrovolt plugs are located between each submersible for the CAN bus cabling  and from submersible to antenna allowing each component to detatch under extreme flow conditions.  The CAN bus cabling is routed in a straight line 8’ below each row of antennas and is secured to 3/8” stainless steel cable using zip ties.  The stainless steel cable is secured to the substrate with MR-4 anchors, ~10’ apart.  Both rows of antennas consist of 3, 25’X30” HDPE flat plates constructed by Yakama Nation spanning the entire channel under most flow conditions.  The antennas are secured to the substrate using MR-4 anchors and a combination of NRS and ratchet straps. The site was installed in July 2018 by WDFW and Yakama Nation staff and started collecting data on 10/15/2018 at 13:15.","c(-120.8364, 47.174326)",NA,NA,NA,NA,NA
LNF,Leavenworth NFH Adult Ladder,INT,Hatchery Returns,2012-05-15T00:00:00Z,NA,754.041.005,800,"The LNF Adult Interrogation site is located in the Leavenworth National Fish Hatcheries adult ladder and holding pond. Returning fish encounter the antennas by moving into the ladder past 04, 03, 02. Upon reaching the adult holding pond a fourth antenna, 01, located on the pondside of the fish trap, is encountered. The site is scheduled to operate annually from May to December to capture Spring Chinook and Coho Salmon returning to the hatchery.","c(-120.672248, 47.558465)",NA,NA,NA,NA,NA
LNR,Lower Naches River,INT,Instream Remote Detection System,2016-11-06T00:00:00Z,2020-05-30T00:00:00Z,539.187.005,731,"This site is a permanent instream PIT tag detection system located at rkm 5.3 on the lower Naches river, 700 meters below Nelson dam. Prior to 10/29/2018, the site consisted of one row of five 28 ft x 3 ft flexible antennas mounted to wooden 2 X 4 backbones and anchored to the riverbed with MR-4 anchors.  Due to extreme flow conditions in the Naches river, 3 inch HDPE antennas were constructed by Yakama Nation Fisheries to replace the flexible antennas. An IS1001 MTS was installed to replace the Qube.  The 3-wire cable was replaced with CAN bus with a 100 ft trunk line running to ACN #5.  All IS1001s are daisy chained together with hydrovolt plugs to allow removal/replacement of individual submersible enclosures and antennas.  Five 25 ft x 31 inch HDPE antennas were installed using the existing MR-4 anchors. Additional anchors were installed to secure the IS1001 enclosures that are anchored 8 ft below the row of antennas.  The site is powered with a 5060 Thermo-electric generator fueled with portable propane tanks.","c(-120.578716, 46.631484)",NA,NA,NA,NA,NA
LOR,Lost River at rkm 0.81,INT,Instream Remote Detection System,2013-03-22T00:00:00Z,2017-08-18T11:00:00Z,843.122.001,966,"This site is a permanent instream PIT tag detection system located at rkm 0.81 on the Lost River (Methow River Basin), located near the Lost River Airport. The site consists of two rows of three 20-foot antennas. All antennas are installed in flat plate configuration. Each row of antennas spans the wetted width of the channel during base flows. The antennas were built and installed by WDFW. The site is powered by a thermoelectric generator. A Campbell Scientific CR-1000 data logger and cellular modem are installed on site to automate data collection and provide remote communication. A water temperature and pressure probe, and an air temperature probe are also installed on site to monitor environmental conditions. Site removed August 2017.","c(-120.505688, 48.655382)",NA,NA,NA,NA,NA
LTP,Lower Twisp Acclimation Pond,INT,Monitored Fish Release,2011-03-15T00:00:00Z,NA,843.066.002,911,"The interrogation site is installed within the outlet of the lower most pond in the Methow Salmon Recovery Foundations pond complex on the Twisp River, located 1.6 Rk upstream from the confluence with the Methow River. The outlet is approximately 60 ft. in length with a wetted width of 3 ft.  The detection systems are installed in series within the outlet and are comprised of three model 2001F-ISO portable, PIT tag detection units using 24 X 24pass-through antennas.  The interrogation systems are intended to monitor juvenile escapement, in-pond and smolt to smolt survival.  The systems are operational during juvenile acclimation and dates vary by year depending on environmental conditions.  Typical times of operation for this site are March 15 to June 15.","c(-120.139009, 48.36646)",NA,NA,NA,NA,NA
LWB,Lower Wenatchee Barge,INT,Instream Remote Detection System,2022-06-16T00:00:00Z,NA,754.000,754,The site consists of a single 60 ft. wide floating barge with twelve 7.5 ft. vertical fins. Each pair of fins act as a single antenna. The purpose for operating this site is to improve detections of outmigrating juvenile salmonids. The site is expected to operate year-round with exceptions to high-flow periods where damage to antennas may not be avoidable.,"c(-120.32914, 47.4562)",NA,NA,NA,NA,NA
LWC,Lower Wenas Creek,INT,Instream Remote Detection System,2018-02-27T00:00:00Z,NA,539.197.002,738,"LWC is located in Wenas Creek about 2 RKMs upstream of the confluence with the Yakima River on property owned by the Bureau of Reclamation.  The site was constructed,  installed and  maintained by a collaborative effort between Yakama Nation Fisheries, Bureau of Reclamation and USFWS.  The site consists of three 20 ftx 8ft pass-through antennas that span the entire channel under most flow conditions.  Antennas and IS1001s are separated 8 ft and are connected using hydrovolt plugs. Pelican cases secure each IS1001 ACN on the left bank.  IS1001s are daisy chained together with CAN bus cable and hydrovolt plugs.  One CAN bus cable is connected to ACN #3 and is ~60 ft in length.  An IS1001 MTS is used to receive data from ACNs and is housed inside of a metal job box.  Solar panels and a 210 Ah battery bank are used to power the site.","c(-120.503685, 46.705098)",NA,NA,NA,NA,NA
LWD,Lowden Diversion Dam,INT,Instream Remote Detection System,2007-11-29T00:00:00Z,2013-10-24T00:00:00Z,509.051,560,This interrogation system currently consists of a single antenna at the entrance to the fish ladder at Lowden Diversion Dam. Lowden Dam is located at rkm 51 on the Walla Walla River.,"c(-118.525822, 46.043121)",NA,NA,NA,NA,NA
LWE,Lower Wenatchee River,INT,Instream Remote Detection System,2009-10-01T00:00:00Z,2011-01-12T00:00:00Z,754.003,757,"LWE is a permanent instream PIT tag interrogation site at RKM 2.77 on the Wenatchee River.  The site consists of two rows of antennas, with each row nearly spanning the wetted width of the channel during base flows.  Each row consists of six 20-foot PVC antennas, installed in flat-plate configuration.  Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a Biomark IS1001-MC (MTS).  The antennas were built and installed by WDFW.  The site is powered by a thermoelectric generator.  LWE has remote communication abilities provided by a cellular modem and Campbell Scientific CR1000 datalogger.  A submersible pressure transducer and temperature probe sensors are also installed to provide environmental condition data collection.","c(-120.350162, 47.464893)",NA,NA,NA,NA,NA
LWL,Ltl. White Salmon NFH returns,INT,Hatchery Returns,2009-10-01T00:00:00Z,2012-04-12T11:22:27Z,261.003,264,Adult fish ladder allowing passage from the Little White Salmon River into the adult holding ponds at Little White Salmon NFH. All fish captured in the ponds are sorted and may either be surplused/spawned or returned to the river via an underground tube. The tube empties into the Little White Salmon River directly below the fish ladder entrance.,"c(-121.640678, 45.721799)",NA,NA,NA,NA,NA
LWN,Little Wenatchee River,INT,Instream Remote Detection System,2009-04-01T00:00:00Z,NA,754.090.008.004,856,"This is a permanent instream PIT tag interrogation site at rkm 4 located at the old fish weir. The site consists of two rows of antennas, with each row spanning the wetted width of the channel during base flows. Each row consists of 3 20-foot PVC antennas, installed in flat-plate configuration onto the old weir decking. The FS1001M transceiver is powered by a solar array and an Outback charge controller. The antennas were built and installed by WDFW. A cellular modem is installed on site to provide remote communication and allow for automated data collection. A submersible pressure transducer and temperature probes are installed on site to monitor environmental conditions.","c(-120.838918, 47.834251)",NA,NA,NA,NA,NA
M3R,3R side channel Methow River,INT,Instream Remote Detection System,2014-11-04T00:00:00Z,2018-10-08T16:00:00Z,843.075,918,"This site will be located in a side channel to the Methow River on river right, above the Twisp River at river km 75. There will be two rows of single 10 foot long antennas at the bottom of the channel. They will be anchored in a pass-over configuration. There will be a post on shore adjacent to each antenna with allflex’s mounted to them. A battery box will be on shore adjacent to an outlet. Site removed October 2018.","c(-120.157037, 48.43475)",NA,NA,NA,NA,NA
MAD,"Mad River, Entiat River Basin",INT,Instream Remote Detection System,2007-10-01T00:00:00Z,2021-03-31T12:00:00Z,778.017.001,796,"This is a passive in-stream interrogation system at Mad River rkm 1, located at Ardenvoir, WA. The system consists of three sets of two antennas. Each pair of antennas spans the river; the pairs are arrayed in tandem to provide directionality data.","c(-120.368739, 47.736851)",NA,NA,NA,NA,NA
MBD,Mill Crk Bennington Diversion,INT,Combined Dam Location,2021-12-08T11:00:00Z,NA,509.054.019,582,"This site consists of two pass through antennas installed in the fish ladder and two pass over antennas installed in the low flow spillway of the Mill Creek Bennington Diversion dam.  This site used to be part of the MCD - Mill Creek Diversion Project interrogation site that combined this location with the Mill Creek Division Works into one site.  The reason this new MBD site is being created is because it is located 1.1 miles upstream from the Division Works dam, which is also a new site with code MDW.","c(-118.254402, 46.079843)",NA,NA,NA,NA,NA
MCD,Mill Creek Diversion Project,INT,Combined Dam Location,2005-02-25T00:00:00Z,2006-08-01T00:00:00Z,509.054.019,582,This interrogation system includes the fish bypass and passage facilities at the (Bennington) Diversion Dam and the first Division Works in the Mill Creek Diversion Project in the Walla Walla Basin. It was split into two separate sites in December 2021. The Mill Creek Bennington Diversion Dam is now site MBD and the Mill Creek Division Works is now MDW.,"c(-118.254402, 46.079843)",NA,NA,NA,NA,NA
MCI,Mill Creek Intake Dam,INT,Adult Fishway,2011-06-01T00:00:00Z,2017-02-02T00:00:00Z,509.054.041,604,"This array consists of two pass through antennas located in the adult fish ladder at the City of Walla Walla water intake dam on Mill Creek in the Walla Walla River Subbasin. It is a cooperative project between WDFW, USFS, USFWS and CTUIR. Site removed 2017.","c(-118.048399, 45.990016)",NA,NA,NA,NA,NA
MCL,Lower Mission Creek Instream,INT,Instream Remote Detection System,2011-10-04T00:00:00Z,NA,754.017.001,772,"This site is a permanent instream PIT tag detection system located at rkm 0.7 on Mission Creek (Wenatchee River Basin), near Cashmere, WA. The site consists of three rows of antennas (5 total antennas), installed in flat plate configuration. Each row of antenna spans the wetted width of the channel during base flows. The antennas were built and installed by WDFW. The site is connected to grid power to charge the battery bank powering the transceiver.","c(-120.472629, 47.518179)",NA,NA,NA,NA,NA
MDR,McDonald Road Bridge,INT,Instream Remote Detection System,2012-09-25T00:00:00Z,2018-01-14T18:00:00Z,509.041,550,"This interrogation site in the middle Walla Walla River at McDonald Road Bridge is a flat panel, single row of 4 antennas, 2 twenty foot panels and 2 ten foot panel. Site was removed in January 2018.","c(-118.5548, 46.04787)",NA,NA,NA,NA,NA
MDW,Mill Creek Division Works,INT,Adult Fishway,2021-12-08T11:00:00Z,NA,509.054.017,580,"This site consists of two pass through antennas in the updated Mill Creek Division Works fish ladder.  This site used to be part of the MCD - Mill Creek Diversion Project interrogation site that combined this location with the Mill Creek Bennington Diversion dam into one site.  The reason this new MDW site is being created is because it is located 1.1 miles downstream from Bennington Diversion dam, which is also a new site with code MBD.","c(-118.272888, 46.076705)",NA,NA,NA,NA,NA
MEM,Eightmile Acclimation Pond,INT,Monitored Fish Release,2019-03-15T00:00:00Z,NA,843.080.017,940,"Eightmile Acclimation Pond was designed and constructed from 2017 thru 2018 on the Okanogan National Forest Eightmile Ranch, adjacent to the Chewuch River.  One interrogation antenna will be located within the steel outlet structure.  Up to two more antennas will be located at the terminus of the outlet pipe where it meets the Chewuch River, flows dependant.  Acclimation of juvenile salmonids at this site will occur on a yearly basis.  The interrogation system(s) are intended to monitor in-pond and smolt-to-adult survival rates and will be operational during release.  Typical times of operation for this site will be March 15 thru June 1.","c(-120.165634, 48.591924)",NA,NA,NA,NA,NA
MEW,Early Winters Acclimation Pond,INT,Monitored Fish Release,2019-03-15T00:00:00Z,NA,843.113.001,957,"Two kidney bean shaped ponds were designed and constructed from 2017 thru 2018 on the Freestone Inn at Wilson Ranch and adjacent to Early Winters Creek and 30 meters south of HWY 20 in Mazama, WA.  The antennas are located at the outlet structures of both ponds and in Early Winters Creek at the outlet pipe.  Outlet  pipes from both ponds join in a common gallery before flowing back into Early Winters Creek.  Acclimation of juvenile salmon at this site will occur on a yearly basis.  One antenna will be used at the outlet of each pond that has PIT tags.  Two antennas will be used in Early Winters Creek where the outlet pipe is located, dependant on creek flow.  The interrogation systems are intended to monitor in-pond and smolt to adult survival. The antennas will be operational during release.  Typical times of operation for this site will be March 15 thru June 1.","c(-120.442708, 48.597458)",NA,NA,NA,NA,NA
MHB,Habermehl side channel Methow,INT,Instream Remote Detection System,2014-11-06T00:00:00Z,2016-10-04T00:00:00Z,843.070,913,"This site will be located in a side channel to the Methow River on river right, above the Twisp River at river km 70. There will be two rows of single 15 foot long antennas at the bottom of the channel. They will be anchored in a pass-through configuration. There will be a post on shore adjacent to each antenna with allflex’s mounted to them. A battery box will be on shore adjacent to a solar panel system.","c(-120.135781, 48.404351)",NA,NA,NA,NA,NA
MIN,"Mine Reach of Wind River, WA",INT,Instream Remote Detection System,2019-09-12T00:00:00Z,NA,251.036,287,"An instream interrogation system in the Wind River, WA. The system consists of a IS1001 MTS with two individual IS1001 Nodes. The two antennas are each 17 feet long and arranged in one cross-channel array. Power is provided by solar panels charging a battery bank. Downloads are manual and typically done during weekly site visits, though that interval may be longer during winter due to snow.","c(-121.945794, 45.922676)",NA,NA,NA,NA,NA
MJ1,Middle Fork John Day Array,INT,Instream Remote Detection System,2013-11-06T00:00:00Z,2014-01-24T11:32:00Z,351.298.052.068,769,"The Middle Fork John Day Array, owned and operated by the Oregon Department of Fish and Wildlife, is installed on the Middle Fork John Day River, near the current confluence with Mosquito Creek on Malheur National Forest Service Land. The array is powered by solar power. The site is operated year round, except when environmental conditions preclude sufficient charging to power system. The system runs six antennas (two arrays with three antennas each) at all times, except when low flows or ice preclude water flow over some antennas. Except at extremely high flows, the entire river bed is monitored by the antenna arrays. It is downloaded manually.","c(-118.851057, 44.741933)",NA,NA,NA,NA,NA
MJ2,Middle Fork John Day Ritter,INT,Instream Remote Detection System,2019-01-31T00:00:00Z,2020-11-16T00:00:00Z,351.298.052.024,725,"MJ2 is located on the Middle Fork John Day River at RKM 24 at Ritter Oregon. Installed and maintained by the Oregon Dept. of Fish and Wildlife, it is on private property. This array consistes of one 45 foot antenna anchored to bedrock with stud anchors attached to one IS1001 node controlled by one Biomark MTS 1001 master controller. This system is connected to the power grid. It is downloaded manually.","c(-119.142501, 44.890882)",NA,NA,NA,NA,NA
MRC,Methow River at Carlton,INT,Instream Remote Detection System,2015-09-21T00:00:00Z,NA,843.045,888,This site will be located in the mainstem Methow River near the town of Carlton at river km 45.  There will be one row of six 20 foot long antennas spanning the river.  They will be anchored in a pass-over configuration.  The system will be powered with AC on the adjacent left bank.,"c(-120.118464, 48.246996)",NA,NA,NA,NA,NA
MRT,Methow River at Twisp,INT,Instream Remote Detection System,2009-09-28T00:00:00Z,2013-03-12T00:00:00Z,843.067,910,"This is a passive in-stream interrogation system on the Methow River at river km 67, above the Twisp River. The system consists of one arrays of six antennas. The array spans most of the channel. All antennas are anchored in a pass-by configuration.","c(-120.121573, 48.374112)",NA,NA,NA,NA,NA
MRW,Methow River at Winthrop,INT,Instream Remote Detection System,2009-09-21T00:00:00Z,NA,843.085,928,"This is a passive in-stream interrogation system on the Methow River. During 2009 and early 2010, the array was located at river km 81, above Winthrop, WA near Winthrop National Fish Hatchery.  In Sept. 2010 it was moved upstream to its new location below Wolf Creek on the mainstem Methow River, at river km 85.  The system consists of two arrays of three antennas each.  The arrays span the channel at low summer flows.  The arrays are in tandem to provide directionality data and increase detection probability.  All antennas are anchored in a pass-by configuration.","c(-120.228681, 48.487797)",NA,NA,NA,NA,NA
MSB,Stansberry side channel Methow,INT,Instream Remote Detection System,2015-08-13T00:00:00Z,2017-08-09T06:15:00Z,843.098,941,"This site will be located in a side channel in the upper Methow River on river left, just below Weeman Bridge at river km 98.  There will be two rows of three 20 foot long antennas at the bottom of the channel.  They will be anchored in a pass-over configuration.  The system will be powered by a solar panel system located on shore.","c(-120.32291, 48.53258)",NA,NA,NA,NA,NA
MSC,Methow River Side Channels,INT,Instream Remote Detection System,2009-01-01T00:00:00Z,2010-08-12T00:00:00Z,843.071,914,In-stream arrays on a side channel to the Methow River,"c(-120.136004, 48.405633)",NA,NA,NA,NA,NA
MSH,Methow Fish Hatchery Outfall,INT,Instream Remote Detection System,2011-04-15T00:00:00Z,2014-04-02T11:45:00Z,843.085,928,"The interrogation site is installed within the outlet channel of the Washington Department of Fish and Wildlife (WDFW) Methow Hatchery located on the Methow River at Rk 82.3 from the confluence with the Columbia River. The outlet channel is approximately 690 ft. in length with a variable wetted width, between 3ft. to approximately 10ft. All juvenile fish released from Methow Hatchery navigate through the outlet channel to reach the Methow River, and returning adult fish also migrate up the outlet channel and are often collected in a trap structure at the head end of the channel. The detection systems in the channel were installed in series and were initially comprised of three model 2001F-ISO portable PIT tag detection units using 24 X 24 pass-through antennas. The site was operated seasonally (from April to June) in this manner until April 2014 when an additional single antenna was permanently affixed to the trap structure and operated year-round utilizing an IS1001 reader. In August 2015, the temporary antennas were removed and the site has operated with only the single, permanent antenna since that time. The interrogation system monitors juvenile salmonid emigration from the hatchery facility, and detects adult fish approaching or entering the trapping facility.","c(-120.204967, 48.476747)",NA,NA,NA,NA,NA
MTP,Twisp Acclimation Pond,INT,Monitored Fish Release,2019-03-15T00:00:00Z,2023-03-15T00:00:00Z,843.066.013,922,"Twisp Acclimation Pond is Douglas County PUD owned and WDFW operated. This pond is a man-made, remote acclimation pond located approximately 6 miles west of Twisp, WA.  Acclimation of juvenile salmon at this site occur on a yearly basis and between March 1 and June 15, depending on species. The interrogation site is comprised of two IS1001 and one AllFlex detection systems installed within the outlet channel to the Twisp Acclimation Pond.  The outlet channel is approximately 10 meters in length.  Interrogation systems are installed just prior to release and are taken out when all hatchery juvenile fish have left the facility.  The interrogation systems are intended to monitor in-pond and smolt-to-adult survival rates.","c(-120.244062, 48.380412)",NA,NA,NA,NA,NA
MVF,Moving Falls Fish Ladder,INT,Adult Fishway,2015-07-29T00:00:00Z,2015-10-19T13:57:00Z,273.020.004,297,The interrogation site is located in a fish ladder at a site known as Moving Falls on the West Fork of the Hood River. The ladder is a vertical slot type construction. Two antennas are installed in a pass through configuration at two of the vertical slots at the upstream end of the ladder. At the upstream terminus of the ladder there is an adult trap. The trap is operated most of the year but is closed seasonally in the winter months. When the trap is not operated fish passage in the ladder is maintained except during extreme high water events. The antennas are controlled by two synced Biomark IS1001 ACN readers. Power is provided by solar panel(s) charging a deep cycle battery bank. Interrogation data is manually downloaded periodically.,"c(-121.657187, 45.572479)",NA,NA,NA,NA,NA
MVP,Mid-Valley Acclimation Pond,INT,Monitored Fish Release,2012-03-23T00:00:00Z,NA,843.088,931,"The site is installed within the outlet of the lower most pond in an off-channel pond complex on the Methow River, located at River km 87.6. The outlet is approximately .5 mi. in length with a wetted width varying from 3ft to 50 feet. The detection systems are installed in series within the outlet and are comprised of three model 2001F-ISO portable PIT detection units. The first antenna is a 24in X 24in pass through and identified as Upstream antenna 01, while second and third antennas are 9ft X 3ft pass-through antennas and identified as Middle antenna 02 and Downstream antenna 03, respectively. Upstream antenna 01 is located approximately 40 ft. upstream of Middle antenna 02, while Middle antenna 02 is approximately 15 ft. upstream of Downstream antenna 03. The interrogation systems are intended to monitor juvenile escapement, in-pond, and smolt to smolt survival. The systems are operational during juvenile acclimation. Typical times of operation for this site are March 1 to June 15.","c(-120.25614, 48.504212)",NA,NA,NA,NA,NA
MWC,Maxwell Canal,INT,Instream Remote Detection System,2007-03-01T00:00:00Z,2012-03-27T15:34:23Z,465.024,489,Maxwell Canal is located at rkm 24 on the Umatilla River.  MWC is operated by USFWS for the Bureau of Reclamation.,"c(-119.341847, 45.799487)",NA,NA,NA,NA,NA
MWE,Middle Wenatchee River,INT,Instream Remote Detection System,2008-03-28T00:00:00Z,2013-10-14T00:00:00Z,754.050,804,"This is a passive in-stream interrogation system at Wenatchee River rkm 50 above Tumwater Dam, consisting of a single antenna array floated off the bottom spanning the river.","c(-120.726203, 47.623026)",NA,NA,NA,NA,NA
